name,timestamp,value,beta_kubernetes_io_arch,beta_kubernetes_io_instance_type,beta_kubernetes_io_os,container,cpu,eks_amazonaws_com_capacityType,eks_amazonaws_com_nodegroup,eks_amazonaws_com_nodegroup_image,eks_amazonaws_com_sourceLaunchTemplateId,eks_amazonaws_com_sourceLaunchTemplateVersion,failure_domain_beta_kubernetes_io_region,failure_domain_beta_kubernetes_io_zone,id,image,instance,job,kubernetes_io_arch,kubernetes_io_hostname,kubernetes_io_os,name,namespace,node_kubernetes_io_instance_type,pod,topology_kubernetes_io_region,topology_kubernetes_io_zone
,1641897010.464,0.0028146208965567103,amd64,t3a.small,linux,coredns,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod0d4d3197-9fd5-4a74-b228-2af587b95e35/0ebb4bee287ecd1dd0450f2d72026cd27d4d3110ad179e1ad8153e4c001a033f,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns@sha256:f7a695d2ca5d864c23c8ac0140178ca2119f857c96f67ef87718b9b4286fa398,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_coredns_coredns-d6bb67487-jm7ks_kube-system_0d4d3197-9fd5-4a74-b228-2af587b95e35_0,kube-system,t3a.small,coredns-d6bb67487-jm7ks,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.002797433500348597,amd64,t3a.small,linux,coredns,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/podb19f8b43-b8a1-4b56-9679-f4302e841e41/34fb70f1f7500261c576df301a35199adae116049dd9b96d7ad5bb74efc14d64,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/coredns@sha256:f7a695d2ca5d864c23c8ac0140178ca2119f857c96f67ef87718b9b4286fa398,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_coredns_coredns-d6bb67487-9k2cf_kube-system_b19f8b43-b8a1-4b56-9679-f4302e841e41_0,kube-system,t3a.small,coredns-d6bb67487-9k2cf,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.00001008483522243035,amd64,t3a.small,linux,foo-app,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/podb84c5fab-4d2f-4c60-9894-32bc41aebca6/acdcd83d5fd15f5e64cf787b30faf8e70e862fe3d68008da23b6fcfb8aba20fa,hashicorp/http-echo@sha256:ba27d460cd1f22a1a4331bdf74f4fccbc025552357e8a3249c40ae216275de96,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_foo-app_foo-app_default_b84c5fab-4d2f-4c60-9894-32bc41aebca6_0,default,t3a.small,foo-app,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.00018094755291885235,amd64,t3a.small,linux,kube-proxy,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod5f5cc073-b26d-465d-8910-eedfab05b80b/0e58225e49d6ea98bbf761ec687d2ceb1c9194179d4de12cbe97489cb9494410,602401143452.dkr.ecr.ap-southeast-1.amazonaws.com/eks/kube-proxy@sha256:4181a2abfad8ce4311fa88b7cd12cd03fb483a6aa7a1a4e508865fa84d171c0c,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_kube-proxy_kube-proxy-tfzft_kube-system_5f5cc073-b26d-465d-8910-eedfab05b80b_0,kube-system,t3a.small,kube-proxy-tfzft,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.0015002299552532745,amd64,t3a.small,linux,nginx-ingress,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/pod6f1c7de3-d5cf-44ef-b278-dc36661effc4/2d3324a06afd87fd3f5d97a42b6922126a09b1877018e47f2e19236f2d53f39f,sha256:9b528e6246f49eff0ee3986bc3d92045ad4c7c7265789f527372d46dc1c5839c,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_nginx-ingress_nginx-ingress-9c66f6c8-2wtp6_nginx-ingress_6f1c7de3-d5cf-44ef-b278-dc36661effc4_0,nginx-ingress,t3a.small,nginx-ingress-9c66f6c8-2wtp6,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.029310325666267602,amd64,t3a.small,linux,prometheus,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/burstable/pod1b454e10-465b-41c9-ae40-60670383d708/6d7d88510fba455216c6b712d022ed9d018b6b2d0a7fcadbba7fb79ec238fdd4,prom/prometheus@sha256:cb9817249c346d6cfadebe383ed3b3cd4c540f623db40c4ca00da2ada45259bb,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,k8s_prometheus_prometheus-deployment-87cc8fb88-8h9f5_monitoring_1b454e10-465b-41c9-ae40-60670383d708_0,monitoring,t3a.small,prometheus-deployment-87cc8fb88-8h9f5,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.12285596835860992,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.040437791055504525,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.00151995167325039,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,,t3a.small,,ap-southeast-1,ap-southeast-1c
,1641897010.464,0.000009214261556629593,amd64,t3a.small,linux,,total,ON_DEMAND,Hyphen-K8S-Managed-Node-Group,ami-021e19054edaaf929,lt-0f6bae44a9e83d586,1,ap-southeast-1,ap-southeast-1c,/kubepods/besteffort/pod16a5704b-f3fd-4b6c-bf05-1c94293f65c4,,ip-10-235-119-81.ap-southeast-1.compute.internal,kubernetes-cadvisor,amd64,ip-10-235-119-81.ap-southeast-1.compute.internal,linux,,default,t3a.small,bar-app,ap-southeast-1,ap-southeast-1c
